nail	mother	father	seeds	pop	blo
24	rui 33	pen 31	10	rui	B11
25	rui 33	neg 3	10	rui	B11
26	rui 20	agi 6	10	rui	B11
27	rui 29	naj 55	8	rui	B11
28	rui 34	agi 14	10	rui	B11
29	rui 23	rui 12	10	rui	B11
30	rui 47	naj 67	10	rui	B11
31	rui 29	rui 45	10	rui	B11
32	rui 20	neg 25	10	rui	B11
33	rui 34	rui 37	10	rui	B11
34	rui 46	pen 33	10	rui	B11
101	rui 46	naj 55	10	rui	B11
35	rui 44	agi 12	9	rui	B11
36	rui 12	agi 45	10	rui	B11
37	rui 34	pen 33	10	rui	B11
39	rui 2	naj 80	10	rui	B11
40	rui 2	agi 6	10	rui	B11
41	rui 12	naj 67	10	rui	B11
42	rui 3	rui 23	7	rui	B11
43	rui 43	rui 20	10	rui	B11
44	rui 26	rui 23	10	rui	B11
45	rui 20	rui 26	9	rui	B11
46	rui 3	agi 38	10	rui	B11
47	rui 23	agi 45	9	rui	B11
48	rui 14	agi 42	10	rui	B11
49	rui 33	naj 80	9	rui	B11
50	rui 34	naj 21	9	rui	B11
51	rui 23	pen 1	10	rui	B11
52	rui 29	agi 11	10	rui	B11
53	rui 21	naj 46	8	rui	B11
54	rui 31	rui 37	10	rui	B11
55	rui 31	agi 11	9	rui	B11
56	rui 24	neg 25	10	rui	B11
57	rui 22	agi 35	10	rui	B11
58	rui 12	naj 75	10	rui	B11
59	rui 2	rui 39	10	rui	B11
60	rui 12	neg 3	10	rui	B11
61	rui 37	naj 72	6	rui	B11
62	rui 34	naj 69	10	rui	B11
63	rui 47	agi 36	10	rui	B11
64	rui 20	pen 28	10	rui	B11
65	rui 26	naj 69	10	rui	B11
66	rui 45	pen 33	10	rui	B11
67	rui 39	naj 75	10	rui	B11
68	rui 2	pen 20	10	rui	B11
69	rui 44	neg 25	10	rui	B11
70	rui 46	naj 77	10	rui	B11
71	rui 26	neg 3	10	rui	B11
72	rui 36	neg 5	10	rui	B11
73	rui 43	agi 35	10	rui	B11
74	rui 43	naj 72	10	rui	B11
75	rui 3	neg 25	10	rui	B11
76	rui 23	neg 2	10	rui	B11
77	rui 47	neg 25	10	rui	B11
78	rui 35	pen 1	10	rui	B11
79	rui 45	neg 21	10	rui	B11
80	rui 44	pen 17	10	rui	B11
81	rui 31	naj 79	10	rui	B11
82	rui 29	pen 10	10	rui	B11
83	rui 29	pen 27	10	rui	B11
84	rui 31	pen 17	10	rui	B11
85	rui 46	neg 3	10	rui	B11
86	rui 46	pen 27	10	rui	B11
87	rui 46	rui 45	10	rui	B11
88	rui 42	rui 36	10	rui	B11
89	rui 43	neg 5	10	rui	B11
90	rui 30	neg 3	10	rui	B11
91	rui 20	agi 26	10	rui	B11
92	rui 39	rui 18	10	rui	B11
93	rui 36	pen 28	10	rui	B11
94	rui 3	pen 17	10	rui	B11
95	rui 37	agi 6	10	rui	B11
96	rui 42	pen 31	10	rui	B11
97	rui 43	pen 36	10	rui	B11
98	rui 39	neg 22	10	rui	B11
99	rui 37	neg 11	10	rui	B11
100	rui 12	pen 1	10	rui	B11
1	rui 23	rui 12	10	rui	B12
2	rui 36	rui 23	10	rui	B12
3	rui 43	neg 5	10	rui	B12
4	rui 2	neg 22	10	rui	B12
5	rui 33	pen 34	10	rui	B12
6	rui 47	rui 12	10	rui	B12
7	rui 47	naj 67	10	rui	B12
8	rui 47	rui 12	9	rui	B12
9	rui 2	agi 6	10	rui	B12
90	rui 39	pen 17	10	rui	B12
10	rui 43	agi 35	10	rui	B12
11	rui 18	rui 33	10	rui	B12
12	rui 21	agi 35	10	rui	B12
13	rui 20	pen 28	10	rui	B12
14	rui 12	naj 67	10	rui	B12
15	rui 31	neg 3	10	rui	B12
16	rui 48	rui 45	9	rui	B12
17	rui 24	neg 25	10	rui	B12
18	rui 21	rui 37	6	rui	B12
19	rui 33	agi 6	9	rui	B12
20	rui 12	neg 3	10	rui	B12
21	rui 37	neg 11	10	rui	B12
22	rui 24	agi 8	10	rui	B12
23	rui 23	pen 1	10	rui	B12
24	rui 20	agi 6	10	rui	B12
25	rui 46	pen 27	10	rui	B12
26	rui 26	rui 23	10	rui	B12
27	rui 43	naj 72	10	rui	B12
28	rui 21	naj 46	8	rui	B12
29	rui 42	neg 61	10	rui	B12
30	rui 46	naj 55	10	rui	B12
31	rui 2	rui 39	10	rui	B12
32	rui 46	naj 77	10	rui	B12
33	rui 43	pen 30	10	rui	B12
34	rui 26	pen 33	10	rui	B12
35	rui 4	rui 2	10	rui	B12
36	rui 39	rui 18	10	rui	B12
37	rui 43	rui 20	10	rui	B12
38	rui 14	agi 42	10	rui	B12
39	rui 2	pen 20	10	rui	B12
40	rui 37	naj 12	5	rui	B12
41	rui 4	neg 20	10	rui	B12
42	rui 26	agi 26	10	rui	B12
43	rui 25	agi 81	10	rui	B12
44	rui 29	agi 11	10	rui	B12
45	rui 37	rui 18	8	rui	B12
46	rui 2	naj 80	10	rui	B12
47	rui 26	naj 69	10	rui	B12
48	rui 34	rui 37	10	rui	B12
49	rui 39	neg 22	10	rui	B12
50	rui 45	neg 21	10	rui	B12
51	rui 46	agi 11	10	rui	B12
52	rui 36	pen 28	10	rui	B12
53	rui 45	pen 33	10	rui	B12
54	rui 10	naj 61	10	rui	B12
55	rui 3	naj 55	10	rui	B12
56	rui 29	naj 55	8	rui	B12
57	rui 31	rui 37	10	rui	B12
58	rui 34	agi 14	10	rui	B12
59	rui 46	pen 33	10	rui	B12
60	rui 26	neg 3	9	rui	B12
61	rui 23	agi 45	10	rui	B12
62	rui 45	naj 54	8	rui	B12
63	rui 25	rui 47	10	rui	B12
64	rui 3	agi 38	10	rui	B12
65	rui 44	pen 17	10	rui	B12
66	rui 22	agi 35	10	rui	B12
67	rui 29	mor 81	10	rui	B12
68	rui 34	neg 21	10	rui	B12
69	rui 45	agi 6	10	rui	B12
70	rui 23	naj 69	10	rui	B12
71	rui 44	neg 25	10	rui	B12
72	rui 33	neg 3	8	rui	B12
73	rui 35	rui 36	10	rui	B12
74	rui 3	pen 17	5	rui	B12
75	rui 34	naj 69	10	rui	B12
76	rui 29	neg 23	10	rui	B12
77	rui 47	pen 31	10	rui	B12
78	rui 29	pen 10	10	rui	B12
79	rui 23	neg 62	10	rui	B12
80	rui 33	naj 80	9	rui	B12
81	rui 42	pen 31	10	rui	B12
82	rui 35	pen 1	10	rui	B12
83	rui 39	naj 75	10	rui	B12
84	rui 36	neg 5	10	rui	B12
85	rui 92	pen 1	10	rui	B12
86	rui 29	pen 27	10	rui	B12
87	rui 42	rui 36	10	rui	B12
88	rui 31	agi 11	10	rui	B12
89	rui 31	pen 17	10	rui	B12
91	rui 20	neg 25	10	rui	B12
92	rui 29	rui 45	10	rui	B12
93	rui 12	agi 45	10	rui	B12
94	rui 10	rui 37	10	rui	B12
95	rui 31	naj 79	10	rui	B12
96	rui 3	neg 25	9	rui	B12
97	rui 44	agi 12	10	rui	B12
98	rui 46	neg 3	9	rui	B12
99	rui 47	agi 36	10	rui	B12
100	rui 42	naj 75	10	rui	B12
1	agi 36	mor 78	8	agi	B13
2	agi 11	naj 72	10	agi	B13
3	agi 11	pen 17	10	agi	B13
4	agi 37	naj 80	10	agi	B13
5	agi 9	rui 46	10	agi	B13
6	agi 25	naj 69	9	agi	B13
7	agi 14	rui 47	7	agi	B13
8	agi 48	rui 23	10	agi	B13
9	agi 6	naj 84	10	agi	B13
10	agi 20	neg 27	6	agi	B13
11	agi 41	agi 43	7	agi	B13
12	agi 36	agi 11	10	agi	B13
13	agi 44	neg 27	4	agi	B13
14	agi 14	agi 37	10	agi	B13
15	agi 35	rui 12	10	agi	B13
16	agi 50	neg 25	6	agi	B13
17	agi 11	agi 23	10	agi	B13
18	agi 40	agi 8	10	agi	B13
19	agi 37	pen 17	10	agi	B13
20	agi 25	pen 39	10	agi	B13
21	agi 37	neg 2	10	agi	B13
22	agi 47	mor 69	10	agi	B13
23	agi 45	rui 23	10	agi	B13
24	agi 27	mor 22	10	agi	B13
25	agi 38	pen 23	10	agi	B13
26	agi 11	rui 33	8	agi	B13
27	agi 50	rui 39	9	agi	B13
28	agi 14	neg 20	10	agi	B13
29	agi 45	pen 27	9	agi	B13
30	agi 42	naj 73	10	agi	B13
31	agi 45	neg 3	10	agi	B13
32	agi 44	zon 6	8	agi	B13
33	agi 14	neg 17	9	agi	B13
34	agi 47	rui 3	10	agi	B13
35	agi 9	neg 3	10	agi	B13
36	agi 36	pen 17	7	agi	B13
37	agi 44	mor 69	9	agi	B13
38	agi 11	rui 23	7	agi	B13
39	agi 9	mor 52	10	agi	B13
40	agi 44	agi 18	9	agi	B13
41	agi 8	agi 41	6	agi	B13
42	agi 44	pen 335	10	agi	B13
43	agi 31	neg 18	10	agi	B13
44	agi 25	agi 6	10	agi	B13
45	agi 38	agi 48	10	agi	B13
46	agi 46	agi 25	10	agi	B13
47	agi 50	pen 32	10	agi	B13
48	agi 43	rui 23	10	agi	B13
49	agi 50	neg 18	5	agi	B13
50	agi 39	neg 3	9	agi	B13
51	agi 39	pen 29	10	agi	B13
52	agi 36	rui 23	10	agi	B13
53	agi 12	naj 72	10	agi	B13
54	agi 22	mor 95	10	agi	B13
55	agi 12	rui 39	10	agi	B13
56	agi 50	agi 12	10	agi	B13
57	agi 49	rui 34	10	agi	B13
58	agi 9	pen 17	10	agi	B13
59	agi 44	rui 23	10	agi	B13
60	agi 50	agi 5	10	agi	B13
61	agi 41	neg 25	10	agi	B13
62	agi 9	agi 48	10	agi	B13
63	agi 11	neg 25	9	agi	B13
64	agi 47	pen 15	9	agi	B13
65	agi 6	pen 29	10	agi	B13
66	agi 45	mor 22	10	agi	B13
67	agi 43	pen 32	8	agi	B13
68	agi 25	rui 21	10	agi	B13
69	agi 42	rui 47	9	agi	B13
70	agi 11	pen 32	10	agi	B13
71	agi 6	agi 39	10	agi	B13
72	agi 45	neg 27	4	agi	B13
73	agi 20	naj 82	9	agi	B13
74	agi 12	agi 41	10	agi	B13
75	agiu 39	mor 30	10	agi	B13
76	agi 11	neg 14	9	agi	B13
77	agi 25	neg 3	7	agi	B13
78	agi 45	agi 11	9	agi	B13
79	agi 38	neg 3	10	agi	B13
80	agi 43	naj 72	10	agi	B13
81	agi 41	rui 37	5	agi	B13
82	agi 41	mor 78	10	agi	B13
83	agi 38	naj 84	10	agi	B13
84	agi 50	neg 27	10	agi	B13
85	agi 37	rui 45	6	agi	B13
86	agi 12	pen 32	10	agi	B13
87	agi 39	agi 6	10	agi	B13
88	agi 41	pen 32	9	agi	B13
89	agi 48	pen 17	10	agi	B13
90	agi 42	agi 1	7	agi	B13
91	agi 36	neg 17	4	agi	B13
92	agi 35	naj 83	10	agi	B13
93	agi 21	agi 45	10	agi	B13
94	agi 6	neg 25	10	agi	B13
95	agi 39	rui 20	10	agi	B13
96	agi 7	agi 8	10	agi	B13
97	agi 42	neg 27	8	agi	B13
98	agi 31	pen 15	10	agi	B13
99	agi 6	mor 28	9	agi	B13
100	agi 6	rui 21	10	agi	B13
1	agi 44	mor 69	10	agi	B14
2	agi 8	agi 41	3	agi	B14
3	agi 25	pen 39	10	agi	B14
4	agi 47	rui 3	10	agi	B14
5	agi 9	agi 48	10	agi	B14
6	agi 37	pen 17	9	agi	B14
7	agi 6	pen 29	10	agi	B14
8	agi 17	mor 74	10	agi	B14
9	agi 6	neg 25	10	agi	B14
100	agi 5	neg 27	9	agi	B14
10	agi 7	agi 8	10	agi	B14
11	agi 25	rui 11	10	agi	B14
12	agi 45	rui 23	9	agi	B14
15	agi 41	agi 43	9	agi	B14
16	agi 5	agi 12	9	agi	B14
17	agi 42	neg 27	8	agi	B14
18	agi 5	pen 32	10	agi	B14
19	agi 17	neg 25	10	agi	B14
20	agi 22	mor 75	10	agi	B14
22	agi 14	agi 37	10	agi	B14
23	agi 11	pen 32	10	agi	B14
24	agi 14	naj 20	10	agi	B14
25	agi 5	mor 28	10	agi	B14
26	agi 31	neg 18	9	agi	B14
27	agi 12	naj 72	10	agi	B14
28	agi 42	naj 73	10	agi	B14
29	agi 45	pen 27	9	agi	B14
30	agi 37	naj 80	8	agi	B14
31	agi 36	rui 23	10	agi	B14
32	agi 37	neg 2	10	agi	B14
33	agi 11	agi 41	7	agi	B14
34	agi 42	agi 1	6	agi	B14
35	agi 47	mor 69	9	agi	B14
36	agi 49	rui 39	10	agi	B14
37	agi 14	pen 17	9	agi	B14
38	agi 5	neg 25	6	agi	B14
39	agi 39	agi 6	10	agi	B14
40	agi 44	zon 6	10	agi	B14
41	agi 41	rui 37	4	agi	B14
42	agi 31	agi 39	8	agi	B14
43	agi 11	neg 25	10	agi	B14
44	agi 45	neg 27	8	agi	B14
45	agi 36	mor 78	10	agi	B14
46	agi 38	neg 3	10	agi	B14
47	agi 11	naj 72	9	agi	B14
97	agi 46	agi 25	8	agi	B14
48	agi 20	naj 27	5	agi	B14
49	agi 12	pen 32	9	agi	B14
50	agi 41	neg 25	10	agi	B14
51	agi 50	rui 39	10	agi	B14
52	agi 43	naj 72	9	agi	B14
53	agi 25	neg 3	7	agi	B14
54	agi 44	rui 23	10	agi	B14
55	agi 44	pen 35	9	agi	B14
57	agi 45	mor 22	10	agi	B14
58	agi 42	rui 47	10	agi	B14
60	agi 6	rui 21	10	agi	B14
61	agi 36	pen 17	7	agi	B14
62	agi 9	pen 17	8	agi	B14
64	agi 24	agi 19	8	agi	B14
65	agi 44	neg 27	5	agi	B14
66	agi 42	pen 17	5	agi	B14
67	agi 48	rui 23	10	agi	B14
68	agi 37	rui 45	5	agi	B14
69	agi 36	neg 17	5	agi	B14
70	agi 38	pen 23	10	agi	B14
71	agi 20	naj 82	10	agi	B14
72	agi 9	rui 46	9	agi	B14
73	agi 9	mor 52	10	agi	B14
74	agi 39	neg 3	10	agi	B14
75	agi 43	pen 32	7	agi	B14
76	agi 14	rui 47	6	agi	B14
77	agi 9	neg 3	6	agi	B14
78	agi 6	agi 39	9	agi	B14
79	agi 48	pen 17	10	agi	B14
80	agi 35	rui 12	10	agi	B14
81	agi 41	mor 78	10	agi	B14
82	agi 25	naj 69	10	agi	B14
83	agi 11	rui 33	8	agi	B14
84	agi 12	agi 41	6	agi	B14
85	agi 25	agi 6	10	agi	B14
86	agi 39	rui 20	7	agi	B14
87	agi 44	agi 18	10	agi	B14
88	agi 39	pen 29	10	agi	B14
89	agi 39	mor 30	10	agi	B14
90	agi 41	pen 32	10	agi	B14
91	agi 43	rui 23	10	agi	B14
92	agi 47	pen 15	10	agi	B14
93	agi 11	naj 14	9	agi	B14
94	agi 35	naj 83	10	agi	B14
95	agi 31	pen 15	10	agi	B14
96	agi 45	agi 11	9	agi	B14
98	agi 6	naj 84	10	agi	B14
99	agi 12	rui 39	10	agi	B14
101	agi 11	rui 23	8	agi	B14
1	agi 31	neg 18	7	agi	B15
2	agi 43	agi 41	5	agi	B15
3	agi 50	rui 39	10	agi	B15
4	agi 39	agi 6	9	agi	B15
5	agi 11	pen 32	10	agi	B15
6	agi 44	agi 18	10	agi	B15
7	agi 25	agi 6	10	agi	B15
8	agi 20	naj 82	10	agi	B15
9	agi 12	agi 41	9	agi	B15
10	agi 44	neg 27	6	agi	B15
11	agi 38	neg 3	10	agi	B15
72	agi 45	agi 11	10	agi	B15
12	agi 6	naj 84	10	agi	B15
13	agi 8	agi 41	6	agi	B15
14	agi 22	mor 75	10	agi	B15
15	agi 5	pen 32	9	agi	B15
16	agi 47	rui 3	10	agi	B15
17	agi 36	rui 23	9	agi	B15
18	agi 37	pen 17	10	agi	B15
19	agi 41	pen 32	10	agi	B15
20	agi 44	zon 6	10	agi	B15
21	agi 25	rui 21	10	agi	B15
22	agi 24	agi 19	8	agi	B15
23	agi 20	neg 27	5	agi	B15
24	agi 50	agi 5	9	agi	B15
25	agi 48	pen 17	10	agi	B15
26	agi 43	pen 32	8	agi	B15
27	agi 44	pen 35	9	agi	B15
28	agi 5	agi 12	8	agi	B15
29	agi 41	mor 78	10	agi	B15
30	agi 11	rui 23	8	agi	B15
31	agi 45	rui 23	10	agi	B15
32	agi 35	naj 83	9	agi	B15
33	agi 9	agi 48	9	agi	B15
34	agi 39	neg 3	10	agi	B15
35	agi 5	neg 18	5	agi	B15
36	agi 44	rui 23	10	agi	B15
37	agi 37	neg 2	10	agi	B15
38	agi 38	agi 48	9	agi	B15
39	agi 42	rui 47	9	agi	B15
40	agi 42	agi 1	7	agi	B15
41	agi 14	rui 47	7	agi	B15
42	agi 35	rui 12	10	agi	B15
43	agi 6	pen 29	10	agi	B15
44	agi 39	pen 29	10	agi	B15
45	agi 39	rui 20	10	agi	B15
46	agi 25	pen 39	10	agi	B15
47	agi 36	mor 78	10	agi	B15
48	agi 5	neg 25	6	agi	B15
49	agi 38	naj 84	10	agi	B15
50	agi 41	rui 37	5	agi	B15
51	agi 45	mor 22	10	agi	B15
52	agi 11	rui 33	5	agi	B15
53	agi 36	pen 17	7	agi	B15
54	agi 11	naj 72	10	agi	B15
55	agi 37	naj 80	10	agi	B15
56	agi 12	naj 72	10	agi	B15
57	agi 39	mor 30	10	agi	B15
58	agi 6	rui 21	10	agi	B15
59	agi 45	neg 27	6	agi	B15
60	agi 43	neg 14	7	agi	B15
61	agi 6	rui 25	9	agi	B15
62	agi 31	pen 15	10	agi	B15
63	agi 42	naj 63	10	agi	B15
64	agi 41	agi 43	8	agi	B15
65	agi 48	rui 23	9	agi	B15
66	agi 5	mor 28	10	agi	B15
67	agi 49	rui 39	9	agi	B15
68	agi 14	agi 37	10	agi	B15
69	agi 37	agi 11	6	agi	B15
70	agi 11	neg 25	10	agi	B15
71	agi 12	rui 39	10	agi	B15
73	agi 27	neg 3	6	agi	B15
74	agi 9	neg 3	10	agi	B15
75	agi 44	mor 69	10	agi	B15
76	agi 43	naj 72	10	agi	B15
77	agi 43	rui 23	9	agi	B15
78	agi 14	neg 20	10	agi	B15
79	agi 42	neg 27	10	agi	B15
80	agi 12	pen 31	10	agi	B15
81	agi 36	neg 17	6	agi	B15
82	agi 7	agi 8	8	agi	B15
83	agi 45	pen 27	9	agi	B15
84	agi 9	pen 17	10	agi	B15
85	agi 42	pen 17	7	agi	B15
86	agi 25	naj 69	9	agi	B15
87	agi 20	rui 45	4	agi	B15
88	agi 35	pen 29	6	agi	B15
89	agi 9	rui 46	10	agi	B15
90	agi 11	agi 41	8	agi	B15
91	agi 41	neg 25	9	agi	B15
92	agi 48	naj 43	10	agi	B15
93	agi 9	mor 52	10	agi	B15
94	agi 6	agi 39	7	agi	B15
95	agi 46	agi 25	10	agi	B15
96	agi 47	pen 15	10	agi	B15
97	agi 5	neg 27	10	agi	B15
98	agi 11	neg 14	9	agi	B15
99	agi 47	mor 69	10	agi	B15
100	agi 38	pen 23	10	agi	B15
1	agi 41	rui 37	5	agi	B16
3	agi 39	mor 30	10	agi	B16
4	agi 9	rui 46	10	agi	B16
6	agi 35	rui 12	10	agi	B16
