nail	mother	father	seeds	pop	blo
6	mor 71	pen 29	10	mor	B4
7	mor 26	rui 36	10	mor	B4
8	mor 66	naj 73	10	mor	B4
9	mor 7	neg 14	10	mor	B4
10	mor 52	naj 72	10	mor	B4
11	mor 75	naj 44	10	mor	B4
12	mor 76	agi 18	10	mor	B4
13	mor 28	neg 17	10	mor	B4
14	mor 29	naj 67	10	mor	B4
15	mor 22	neg 14	10	mor	B4
16	mor 72	neg 13	10	mor	B4
17	mor 68	mor 22	10	mor	B4
18	mor 74	naj 55	10	mor	B4
19	mor 52	pen 27	10	mor	B4
20	mor 73	pen 29	10	mor	B4
21	mor 69	agi 11	10	mor	B4
22	mor 57	naj 83	10	mor	B4
23	mor 52	rui 23	10	mor	B4
24	mor 72	mor 22	10	mor	B4
35	mor 31	rui 20	10	mor	B4
25	mor 81	naj 83	10	mor	B4
26	mor 31	neg 11	10	mor	B4
27	mor 66	mor 28	10	mor	B4
28	mor 58	agi 35	10	mor	B4
29	mor 76	pen 27	10	mor	B4
30	mor 22	mor 76	10	mor	B4
31	mor 71	agi 35	10	mor	B4
32	mor 28	mor 71	10	mor	B4
33	mor 39	pen 27	10	mor	B4
34	mor 58	neg 14	10	mor	B4
36	mor 69	mor 70	10	mor	B4
37	mor 78	naj 73	10	mor	B4
38	mor 30	rui 20	10	mor	B4
39	mor 57	mor 28	10	mor	B4
40	mor 70	naj 72	10	mor	B4
41	mor 26	mor 69	10	mor	B4
42	mor 70	pen 29	10	mor	B4
43	mor 38	naj 75	10	mor	B4
44	mor 39	mor 62	10	mor	B4
45	mor 72	naj 80	10	mor	B4
46	mor 22	pen 17	10	mor	B4
47	mor 78	mor 27	10	mor	B4
48	mor 28	naj 69	10	mor	B4
49	mor 69	pen 32	10	mor	B4
50	mor 73	mor 31	10	mor	B4
51	mor 52	mor 57	10	mor	B4
52	mor 80	agi 35	10	mor	B4
53	mor 80	naj 83	10	mor	B4
54	mor 72	agi 35	10	mor	B4
55	mor 22	naj 78	10	mor	B4
56	mor 57	pen 24	10	mor	B4
57	mor 68	naj 78	10	mor	B4
58	mor 62	rui 23	10	mor	B4
59	mor 31	mor 78	10	mor	B4
60	mor 31	naj 73	10	mor	B4
61	mor 75	zon 5	10	mor	B4
62	mor 69	neg 17	10	mor	B4
63	mor 82	pen 8	10	mor	B4
64	mor 75	neg 5	10	mor	B4
65	mor 26	zon 22	10	mor	B4
66	mor 30	naj 78	10	mor	B4
67	mor 7	pen 31	10	mor	B4
68	mor 78	pen 8	10	mor	B4
69	mor 75	mor 29	10	mor	B4
70	mor 38	neg 17	10	mor	B4
71	mor 30	mor 22	10	mor	B4
72	mor 70	mor 69	10	mor	B4
73	mor 74	pen 8	10	mor	B4
74	mor 82	neg 11	10	mor	B4
75	mor 31	pen 27	10	mor	B4
76	mor 68	pen 17	10	mor	B4
77	mor 76	neg 27	10	mor	B4
78	mor 27	agi 36	10	mor	B4
79	mor 80	neg 18	10	mor	B4
80	mor 73	agi 23	10	mor	B4
81	mor 74	mor 78	10	mor	B4
82	mor 29	pen 27	10	mor	B4
83	mor 29	agi 11	10	mor	B4
84	mor 75	pen 34	10	mor	B4
85	mor 52	neg 25	10	mor	B4
86	mor 69	naj 67	10	mor	B4
87	mor 70	rui 10	10	mor	B4
88	mor 72	mor 29	10	mor	B4
89	mor 58	pen 17	10	mor	B4
90	mor 57	neg 25	10	mor	B4
91	mor 27	mor 71	10	mor	B4
92	mor 28	pen 27	10	mor	B4
94	mor 57	rui 3	10	mor	B4
95	mor 72	pen 29	10	mor	B4
96	mor 29	zon 22	10	mor	B4
97	mor 28	rui 23	10	mor	B4
98	mor 80	neg 17	10	mor	B4
99	mor 81	rui 23	10	mor	B4
100	mor 82	naj 80	10	mor	B4
1	naj 48	mor 52	9	naj	B5
2	naj 42	naj 61	10	naj	B5
3	naj 44	mor 75	10	naj	B5
4	naj 55	neg 2	10	naj	B5
5	naj 44	rui 42	10	naj	B5
6	naj 65	naj 83	10	naj	B5
7	naj 45	naj 55	10	naj	B5
8	naj 63	mor 81	10	naj	B5
9	naj 63	neg 6	10	naj	B5
10	naj 45	rui 47	10	naj	B5
11	naj 49	agi 6	10	naj	B5
12	naj 52	neg 25	10	naj	B5
13	naj 80	pen 17	10	naj	B5
14	naj 44	naj 49	10	naj	B5
15	naj 83	mor 27	10	naj	B5
16	naj 43	mor 27	9	naj	B5
17	naj 49	pen 36	10	naj	B5
18	naj 45	mor 81	10	naj	B5
19	naj 75	pen 17	10	naj	B5
20	naj 50	pen 28	10	naj	B5
21	naj 47	naj 46	10	naj	B5
22	naj 75	naj 48	10	naj	B5
23	naj 74	naj 73	10	naj	B5
24	naj 55	naj 50	10	naj	B5
25	naj 67	naj 44	10	naj	B5
26	naj 50	mor 38	10	naj	B5
27	naj 67	mor 70	9	naj	B5
28	naj 67	pen 1	10	naj	B5
30	naj 57	mor 52	10	naj	B5
31	naj 51	pen 32	9	naj	B5
32	naj 72	agi 35	10	naj	B5
33	naj 59	naj 43	10	naj	B5
34	naj 52	mor 27	9	naj	B5
35	naj 50	neg 19	10	naj	B5
36	naj 64	rui 33	10	naj	B5
37	naj 70	agi 45	10	naj	B5
38	naj 52	rui 20	10	naj	B5
39	naj 81	agi 39	10	naj	B5
40	naj 65	rui 34	10	naj	B5
41	naj 46	mor 71	10	naj	B5
42	naj 43	pen 17	10	naj	B5
43	naj 79	neg 19	10	naj	B5
44	naj 27	pen 34	10	naj	B5
45	naj 49	mor 70	10	naj	B5
46	naj 47	pen 27	10	naj	B5
47	naj 43	neg 25	10	naj	B5
48	naj 30	naj 83	10	naj	B5
49	naj 30	neg 20	10	naj	B5
50	naj 80	rui 36	10	naj	B5
51	naj 49	neg 1	10	naj	B5
52	naj 72	neg 5	10	naj	B5
53	naj 48	naj 73	10	naj	B5
54	naj 78	naj 80	9	naj	B5
55	naj 64	mor 52	10	naj	B5
56	naj 27	neg 20	10	naj	B5
57	naj 54	naj 65	10	naj	B5
58	naj 64	neg 27	9	naj	B5
59	naj 72	pen 17	10	naj	B5
60	naj 30	rui 45	10	naj	B5
61	naj 65	mor 71	10	naj	B5
101	naj 42	agi 39	10	naj	B5
62	naj 48	rui 46	10	naj	B5
63	naj 27	naj 44	9	naj	B5
64	naj 67	agi 39	10	naj	B5
65	naj 52	naj 73	10	naj	B5
66	naj 51	rui 39	10	naj	B5
67	naj 57	agi 39	10	naj	B5
68	naj 48	neg 27	10	naj	B5
69	naj 27	mor 69	9	naj	B5
70	naj 70	mor 38	10	naj	B5
71	naj 74	neg 27	10	naj	B5
72	naj 30	pen 24	10	naj	B5
73	naj 80	neg 19	10	naj	B5
74	naj 51	neg 27	10	naj	B5
75	naj 65	neg 27	10	naj	B5
76	naj 50	rui 45	10	naj	B5
77	naj 73	naj 74	10	naj	B5
78	naj 47	mor 27	9	naj	B5
79	naj 43	agi 8	10	naj	B5
80	naj 44	pen 32	10	naj	B5
81	naj 51	naj 52	10	naj	B5
82	naj 65	pen 17	9	naj	B5
83	naj 55	pen 35	10	naj	B5
84	naj 46	naj 75	10	naj	B5
85	naj 63	pen 32	10	naj	B5
86	naj 63	naj 83	10	naj	B5
87	naj 75	neg 25	10	naj	B5
88	naj 47	agi 45	10	naj	B5
89	naj 67	neg 15	10	naj	B5
90	naj 79	mor 30	10	naj	B5
91	naj 45	pen 36	10	naj	B5
92	naj 59	pen 25	10	naj	B5
93	naj 74	mor 76	10	naj	B5
94	naj 30	mor 29	10	naj	B5
95	naj 83	neg 25	10	naj	B5
96	naj 44	neg 1	10	naj	B5
97	naj 46	rui 23	10	naj	B5
98	naj 61	pen 17	10	naj	B5
99	naj 64	pen 17	10	naj	B5
100	naj 48	pen 17	10	naj	B5
1	naj 30	mor 29	10	naj	B6
2	naj 74	neg 27	10	naj	B6
3	naj 52	naj 73	10	naj	B6
4	naj 65	rui 34	10	naj	B6
5	naj 65	naj 85	10	naj	B6
6	naj 43	neg 25	10	naj	B6
7	naj 45	pen 36	10	naj	B6
8	naj 63	mor 81	10	naj	B6
9	naj 57	mor 52	10	naj	B6
10	naj 83	neg 25	10	naj	B6
11	naj 67	pen 1	10	naj	B6
12	naj 27	neg 20	10	naj	B6
13	naj 47	pen 27	10	naj	B6
14	naj 44	naj 49	9	naj	B6
15	naj 44	rui 42	10	naj	B6
16	naj 51	pen 32	9	naj	B6
17	naj 47	naj 46	10	naj	B6
18	naj 46	rui 25	10	naj	B6
81	naj 51	rui 39	10	naj	B6
19	naj 52	rui 20	10	naj	B6
20	naj 49	agi 6	10	naj	B6
21	naj 64	rui 33	10	naj	B6
22	naj 83	mor 27	10	naj	B6
23	naj 79	neg 19	10	naj	B6
24	naj 81	agi 39	10	naj	B6
25	naj 27	mor 69	10	naj	B6
26	naj 44	mor 75	10	naj	B6
27	naj 67	neg 15	10	naj	B6
28	naj 48	neg 27	10	naj	B6
29	naj 46	mor 71	10	naj	B6
30	naj 64	pen 17	10	naj	B6
31	naj 80	pen 17	10	naj	B6
32	naj 30	neg 20	10	naj	B6
33	naj 67	agi 39	10	naj	B6
34	naj 74	naj 73	10	naj	B6
35	naj 65	neg 27	10	naj	B6
36	naj 50	pen 28	10	naj	B6
37	naj 75	neg 25	10	naj	B6
38	naj 65	mor 71	10	naj	B6
39	naj 45	mor 81	10	naj	B6
40	naj 44	pen 32	10	naj	B6
41	naj 45	naj 55	10	naj	B6
42	naj 30	pen 24	10	naj	B6
43	naj 70	agi 45	10	naj	B6
44	naj 63	neg 6	10	naj	B6
45	naj 49	mor 70	10	naj	B6
46	naj 48	mor 52	8	naj	B6
47	naj 51	naj 52	10	naj	B6
48	naj 51	neg 27	5	naj	B6
49	naj 55	naj 50	10	naj	B6
50	naj 44	neg 1	10	naj	B6
51	naj 72	agi 35	10	naj	B6
52	naj 57	agi 39	10	naj	B6
53	naj 48	naj 73	10	naj	B6
54	naj 50	neg 19	10	naj	B6
55	naj 59	pen 25	10	naj	B6
56	naj 72	neg 5	10	naj	B6
57	naj 49	neg 1	10	naj	B6
58	naj 65	pen 17	10	naj	B6
59	naj 67	naj 44	10	naj	B6
60	naj 80	neg 19	10	naj	B6
61	naj 27	naj 44	9	naj	B6
62	naj 70	mor 38	10	naj	B6
63	naj 43	mor 27	6	naj	B6
64	naj 43	agi 8	10	naj	B6
65	naj 73	naj 74	10	naj	B6
66	naj 55	neg 2	10	naj	B6
67	naj 78	naj 80	10	naj	B6
68	naj 27	pen 34	10	naj	B6
69	naj 42	naj 61	10	naj	B6
70	naj 75	pen 17	10	naj	B6
71	naj 79	mor 30	10	naj	B6
72	naj 55	pen 36	10	naj	B6
73	naj 52	neg 25	10	naj	B6
74	naj 42	agi 39	10	naj	B6
75	naj 74	mor 76	10	naj	B6
76	naj 72	pen 17	10	naj	B6
77	naj 61	pen 17	10	naj	B6
101	naj 49	pen 36	10	naj	B6
78	naj 80	rui 36	10	naj	B6
79	naj 43	pen 17	10	naj	B6
80	naj 75	naj 48	10	naj	B6
82	naj 50	rui 45	10	naj	B6
83	naj 64	neg 27	10	naj	B6
84	naj 45	rui 47	9	naj	B6
85	naj 48	pen 17	8	naj	B6
86	naj 46	naj 75	9	naj	B6
88	naj 63	pen 32	9	naj	B6
89	naj 47	mor 27	10	naj	B6
90	naj 54	naj 65	10	naj	B6
91	naj 64	mor 52	10	naj	B6
92	naj 67	mor 70	9	naj	B6
93	naj 63	naj 83	10	naj	B6
94	naj 50	mor 38	10	naj	B6
95	naj 59	naj 43	10	naj	B6
96	naj 52	mor 27	10	naj	B6
97	naj 48	rui 46	10	naj	B6
98	naj 47	agi 45	10	naj	B6
99	naj 30	rui 45	10	naj	B6
100	naj 30	naj 83	9	naj	B6
1	rui 20	neg 25	10	rui	B9
2	rui 2	naj 80	10	rui	B9
3	rui 43	agi 35	10	rui	B9
4	rui 25	agi 81	10	rui	B9
5	rui 2	rui 39	10	rui	B9
6	rui 26	naj 69	10	rui	B9
7	rui 29	neg 23	9	rui	B9
8	rui 42	rui 36	10	rui	B9
9	rui 34	naj 69	10	rui	B9
10	rui 4	rui 2	10	rui	B9
11	rui 39	pen 17	10	rui	B9
12	rui 43	naj 62	10	rui	B9
13	rui 34	agi 14	10	rui	B9
14	rui 36	pen 28	10	rui	B9
15	rui 37	agi 6	10	rui	B9
16	rui 21	naj 46	9	rui	B9
17	rui 43	rui 20	10	rui	B9
18	rui 34	neg 21	10	rui	B9
19	rui 21	agi 35	10	rui	B9
20	rui 29	pen 10	10	rui	B9
21	rui 39	rui 18	10	rui	B9
22	rui 23	agi 45	10	rui	B9
23	rui 18	neg 27	10	rui	B9
24	rui 18	rui 33	10	rui	B9
25	rui 24	agi 81	10	rui	B9
26	rui 36	rui 23	10	rui	B9
27	rui 3	agi 38	10	rui	B9
28	rui 2	agi 6	9	rui	B9
29	rui 20	agi 6	10	rui	B9
30	rui 31	rui 37	8	rui	B9
31	rui 29	mor 81	8	rui	B9
32	rui 45	neg 21	10	rui	B9
33	rui 29	agi 11	10	rui	B9
34	rui 47	neg 25	10	rui	B9
35	rui 25	rui 47	10	rui	B9
36	rui 3	naj 55	10	rui	B9
37	rui 26	rui 23	10	rui	B9
38	rui 43	pen 36	10	rui	B9
39	rui 46	agi 11	9	rui	B9
40	rui 29	naj 55	10	rui	B9
41	rui 46	pen 26	10	rui	B9
42	rui 33	naj 80	10	rui	B9
43	rui 47	pen 31	10	rui	B9
44	rui 3	neg 25	10	rui	B9
45	rui 44	pen 17	10	rui	B9
46	rui 12	agi 45	10	rui	B9
47	rui 4	neg 20	8	rui	B9
48	rui 24	naj 61	10	rui	B9
49	rui 31	pen 17	10	rui	B9
50	rui 24	pen 29	10	rui	B9
51	rui 42	naj 75	10	rui	B9
52	rui 22	agi 35	9	rui	B9
53	rui 26	agi 29	10	rui	B9
54	rui 2	neg 22	10	rui	B9
55	rui 31	naj 79	10	rui	B9
56	rui 23	neg 2	10	rui	B9
57	rui 20	rui 26	10	rui	B9
58	rui 47	naj 67	10	rui	B9
59	rui 12	neg 3	10	rui	B9
101	rui 35	neg 25	10	rui	B9
60	rui 33	neg 3	10	rui	B9
61	rui 45	naj 54	8	rui	B9
62	rui 46	pen 33	10	rui	B9
63	rui 20	pen 28	10	rui	B9
64	rui 12	rui 23	10	rui	B9
65	rui 29	pen 27	10	rui	B9
66	rui 26	neg 3	10	rui	B9
67	rui 20	naj 67	10	rui	B9
68	rui 2	pen 20	10	rui	B9
69	rui 39	naj 75	9	rui	B9
70	rui 47	rui 12	10	rui	B9
71	rui 33	pen 31	10	rui	B9
72	rui 35	rui 36	8	rui	B9
73	rui 39	neg 22	9	rui	B9
74	rui 23	pen 1	10	rui	B9
75	rui 42	pen 32	10	rui	B9
76	rui 10	rui 37	10	rui	B9
77	rui 14	agi 42	10	rui	B9
78	rui 46	naj 67	10	rui	B9
80	rui 46	rui 45	10	rui	B9
81	rui 47	agi 36	10	rui	B9
82	rui 23	naj 69	10	rui	B9
83	rui 43	neg 5	10	rui	B9
84	rui 29	rui 45	10	rui	B9
85	rui 36	neg 5	10	rui	B9
86	rui 44	agi 29	10	rui	B9
87	rui 46	naj 55	10	rui	B9
88	rui 37	naj 72	6	rui	B9
89	rui 12	pen 1	10	rui	B9
90	rui 44	neg 25	10	rui	B9
91	rui 31	agi 11	10	rui	B9
92	rui 34	rui 37	10	rui	B9
94	rui 23	rui 12	10	rui	B9
95	rui 37	neg 11	10	rui	B9
96	rui 3	pen 17	10	rui	B9
97	rui 45	pen 33	10	rui	B9
98	rui 46	neg 3	10	rui	B9
99	rui 35	pen 1	10	rui	B9
100	rui 45	agi 6	9	rui	B9
43	naj 27	mor 69	10	naj	B7
76	naj 50	pen 28	10	naj	B7
90	naj 48	mor 52	8	naj	B7
64	naj 51	pen 32	10	naj	B7
12	naj 65	mor 71	10	naj	B7
95	naj 45	pen 36	10	naj	B7
22	naj 67	neg 15	10	naj	B7
26	naj 74	naj 73	10	naj	B7
8	naj 80	neg 19	10	naj	B7
69	naj 81	agi 39	10	naj	B7
36	naj 44	neg 1	10	naj	B7
13	naj 64	pen 17	10	naj	B7
15	naj 80	pen 17	10	naj	B7
89	naj 52	naj 73	8	naj	B7
52	naj 75	neg 25	10	naj	B7
88	naj 63	naj 83	10	naj	B7
38	naj 44	rui 42	10	naj	B7
6	naj 48	neg 27	10	naj	B7
11	naj 45	mor 81	10	naj	B7
73	naj 67	mor 70	10	naj	B7
74	naj 45	naj 55	10	naj	B7
91	naj 46	mor 71	9	naj	B7
1	naj 55	naj 50	10	naj	B7
63	naj 65	naj 83	10	naj	B7
92	naj 49	neg 1	10	naj	B7
100	naj 43	mor 27	10	naj	B7
77	naj 64	mor 52	10	naj	B7
14	naj 65	pen 17	9	naj	B7
45	naj 49	agi 6	10	naj	B7
99	naj 73	naj 74	10	naj	B7
72	naj 70	agi 45	10	naj	B7
9	naj 30	naj 83	10	naj	B7
29	naj 48	pen 17	10	naj	B7
57	naj 79	mor 30	10	naj	B7
58	naj 75	agi 35	10	naj	B7
3	naj 65	neg 27	10	naj	B7
80	naj 74	mor 76	10	naj	B7
32	naj 78	naj 80	10	naj	B7
46	naj 47	pen 27	10	naj	B7
17	naj 52	neg 25	9	naj	B7
79	naj 46	rui 25	10	naj	B7
37	naj 79	neg 19	10	naj	B7
70	naj 75	naj 48	9	naj	B7
78	naj 30	pen 24	10	naj	B7
51	naj 57	mor 52	10	naj	B7
65	naj 59	pen 25	10	naj	B7
55	naj 67	naj 44	10	naj	B7
50	naj 42	agi 39	10	naj	B7
84	naj 44	naj 49	10	naj	B7
30	naj 72	pen 17	10	naj	B7
85	naj 72	agi 35	10	naj	B7
81	naj 75	pen 17	10	naj	B7
67	naj 30	rui 45	10	naj	B7
25	naj 57	agi 39	10	naj	B7
59	naj 65	rui 34	10	naj	B7
19	naj 72	neg 5	10	naj	B7
40	naj 43	neg 25	4	naj	B7
60	naj 51	rui 39	10	naj	B7
23	naj 45	rui 47	10	naj	B7
54	naj 30	mor 29	10	naj	B7
96	naj 30	neg 20	10	naj	B7
93	naj 43	agi 8	9	naj	B7
20	naj 48	rui 46	10	naj	B7
71	naj 64	rui 33	10	naj	B7
4	naj 44	mor 75	10	naj	B7
21	naj 67	agi 39	10	naj	B7
61	naj 83	neg 25	10	naj	B7
2	naj 27	pen 34	10	naj	B7
41	naj 52	rui 20	10	naj	B7
56	naj 47	agi 45	9	naj	B7
87	naj 52	mor 27	10	naj	B7
33	naj 80	rui 36	10	naj	B7
68	naj 46	naj 75	10	naj	B7
75	naj 74	neg 27	10	naj	B7
83	naj 55	neg 2	10	naj	B7
97	naj 63	mor 81	10	naj	B7
47	naj 64	neg 27	10	naj	B7
16	naj 49	naj 69	8	naj	B7
7	naj 51	neg 27	10	naj	B7
10	naj 27	neg 20	10	naj	B7
82	naj 47	naj 46	10	naj	B7
86	naj 27	naj 44	10	naj	B7
44	naj 67	pen 1	10	naj	B7
49	naj 42	naj 61	10	naj	B7
35	naj 83	mor 27	10	naj	B7
94	naj 50	mor 38	9	naj	B7
18	naj 50	neg 19	9	naj	B7
5	naj 63	pen 32	10	naj	B7
28	naj 70	mor 38	8	naj	B7
42	naj 48	naj 73	9	naj	B7
62	naj 49	pen 36	10	naj	B7
31	naj 54	naj 65	10	naj	B7
39	naj 47	mor 27	10	naj	B7
48	naj 43	pen 17	8	naj	B7
34	naj 49	mor 70	9	naj	B7
66	naj 55	pen 35	8	naj	B7
53	naj 61	pen 17	7	naj	B7
24	naj 63	neg 6	10	naj	B7
98	naj 59	naj 43	9	naj	B7
27	naj 44	pen 32	10	naj	B7
40	naj 72	pen 17	9	naj	B8
81	naj 75	neg 25	10	naj	B8
58	naj 44	rui 42	10	naj	B8
52	naj 43	neg 25	10	naj	B8
49	naj 48	rui 46	10	naj	B8
31	naj 63	neg 6	10	naj	B8
34	naj 74	neg 27	10	naj	B8
20	naj 64	neg 27	10	naj	B8
29	naj 67	neg 15	10	naj	B8
18	naj 43	agi 8	10	naj	B8
10	naj 83	neg 25	10	naj	B8
43	naj 80	neg 19	10	naj	B8
33	naj 52	rui 20	10	naj	B8
2	naj 44	pen 32	10	naj	B8
65	naj 49	neg 1	10	naj	B8
47	naj 27	neg 20	10	naj	B8
1	naj 75	pen 17	10	naj	B8
57	naj 45	mor 81	10	naj	B8
56	naj 49	pen 36	10	naj	B8
54	naj 55	neg 2	10	naj	B8
74	naj 48	neg 27	10	naj	B8
75	naj 75	agi 35	10	naj	B8
78	naj 30	rui 45	10	naj	B8
6	naj 45	rui 47	10	naj	B8
27	naj 72	agi 35	9	naj	B8
26	naj 49	agi 6	10	naj	B8
97	naj 70	agi 45	10	naj	B8
84	naj 80	rui 36	10	naj	B8
19	naj 65	neg 27	10	naj	B8
62	naj 65	rui 34	10	naj	B8
59	naj 43	pen 17	10	naj	B8
70	naj 47	agi 45	10	naj	B8
44	naj 65	pen 17	10	naj	B8
24	naj 51	neg 27	10	naj	B8
21	naj 79	mor 30	10	naj	B8
22	naj 63	naj 83	10	naj	B8
36	naj 46	mor 71	10	naj	B8
88	naj 55	pen 35	10	naj	B8
93	naj 45	pen 36	10	naj	B8
98	naj 43	mor 27	10	naj	B8
73	naj 50	rui 45	10	naj	B8
69	naj 42	agi 39	10	naj	B8
7	naj 48	pen 17	10	naj	B8
16	naj 30	neg 20	10	naj	B8
14	naj 79	neg 19	10	naj	B8
15	naj 64	rui 33	10	naj	B8
48	naj 27	pen 34	9	naj	B8
96	naj 51	pen 32	9	naj	B8
94	naj 52	neg 25	10	naj	B8
92	naj 48	mor 52	10	naj	B8
63	naj 72	neg 5	10	naj	B8
39	naj 67	mor 70	10	naj	B8
95	naj 65	mor 71	9	naj	B8
45	naj 67	agi 39	10	naj	B8
5	naj 57	mor 52	10	naj	B8
42	naj 70	mor 38	10	naj	B8
32	naj 44	neg 1	10	naj	B8
86	naj 49	mor 70	10	naj	B8
61	naj 57	agi 39	10	naj	B8
60	naj 50	neg 19	10	naj	B8
83	naj 51	rui 39	10	naj	B8
41	naj 67	pen 1	10	naj	B8
28	naj 78	naj 80	10	naj	B8
50	naj 74	naj 73	10	naj	B8
51	naj 74	mor 76	10	naj	B8
72	naj 59	naj 43	10	naj	B8
17	naj 47	naj 46	10	naj	B8
25	naj 75	naj 78	10	naj	B8
4	naj 30	mor 29	10	naj	B8
35	naj 30	naj 83	10	naj	B8
46	naj 47	mor 27	10	naj	B8
79	naj 67	naj 44	10	naj	B8
11	naj 81	agi 39	10	naj	B8
3	naj 30	pen 24	10	naj	B8
91	naj 73	naj 74	10	naj	B8
23	naj 52	naj 73	10	naj	B8
13	naj 50	mor 38	10	naj	B8
30	naj 63	mor 81	10	naj	B8
9	naj 61	pen 17	10	naj	B8
90	naj 50	pen 28	10	naj	B8
66	naj 27	mor 69	10	naj	B8
64	naj 44	mor 75	10	naj	B8
8	naj 42	naj 61	10	naj	B8
38	naj 64	mor 52	10	naj	B8
85	naj 64	pen 17	10	naj	B8
87	naj 47	pen 27	10	naj	B8
100	naj 54	naj 65	10	naj	B8
76	naj 27	naj 44	10	naj	B8
77	naj 65	naj 83	10	naj	B8
12	naj 49	naj 69	10	naj	B8
71	naj 63	pen 32	10	naj	B8
82	naj 45	naj 55	10	naj	B8
53	naj 83	mor 27	10	naj	B8
89	naj 55	naj 50	10	naj	B8
80	naj 48	naj 73	9	naj	B8
37	naj 52	mor 27	10	naj	B8
99	naj 39	pen 25	10	naj	B8
68	naj 44	naj 49	9	naj	B8
55	naj 80	pen 17	10	naj	B8
67	naj 46	naj 75	10	naj	B8
